普通中文,客家汉字,Hakka Pronunciation,English Definition
趴(在桌上),覆,puk5,Lay the head on the table
跺,抌,dem3,Stamp one’s feet
(小孩)踢(被子),抌,dem3,(child) kick away the quilt (during sleeping)
(臟腳亂)踩,踩,cai3,Tread
叉(開腿),擘,mak5,Straddle
(被)絆(倒),徑,gang4,Stumble
跌跤,跌倒,det5 dau3,Fall down
上來,上來,song1 loi2,Come up
下去,下去,ha1 hi4,Go down
追,逐,diak5,Chase
攔(住),攔,lan2,Stop somebody
背(小孩),孭,ba2,Carry (the child) on back
(單人)扛(箱子),托,tok5,Carry (the box on back)
抬,抬,toi2,Carry something with others
挑,㧡,kai1,To shoulder (with a shoulder pole)
倚(在墻上),憑,pen4,Lean (along the wall)
靠(右邊走),嗻,zak5,Walk along (the right side )
尋找,尋,cim2,Look for
遺失,跌,diet5,Lose
(往下)滑,溜,liu1,Slide down
掉(下來),跌,diet5,Fall down
濺(了一身),射,sa4,Spatter (splash)
(牛貼在樹上)蹭(癢),磨,mo4,(Cattle) scratch its body against the tree
擠(過去),櫼,ziam1,Squeeze oneself through the crowd
浮(起來),浮,feu2,Float
墜(下來),墜,diet5,Drop down
翹(起來),翹,hiau4,Stick up
淹死(了),浸死,zim4 si3,Drown
(別)遮(住我),擋,dong3,Cover one’s sight
繞(道),繞,van1,Bypass
轉(圈),丁,din1,Whirl in circle
搬(來搬去),搬,pan1,Move here and there
經受(不住),頂,din3,(cannot) endure
混(在一起),撈,lau1,Mix
(被車)軋(了),研,ngan2,Rolled over (by car)
(用藥)毒(魚),毒,teu4,Poison (v.)
調換,交,gau4,Exchange
輪流,輪流,lun2 liu2,In turn
躲藏,屏,biang4,Hide up
假裝(不懂),詐,za4,Pretend
嬌慣,縱壞,zung3 fai4,Spoiled
(煙)薰(了眼),薰,hiun1,Fumed (by smoke)
(水)滄(了鼻子),濁,cuk6,Choked by water
(飯)滄(了氣管),濁,gang3,Choked by ricein the throat
凹(下去),凹,ngiap5,Sink in
凸(出來),凸,tut6,Protrude out
知道,知,di1,Know
懂(了),曉,hiau3,"Understand, know (a skill)"
懂(了),識,sit5,"Understand, know (a skill)"
認識,識,sit5,Know (someone)
以為,撈過,leu2 go4,Deem
覺得,覺得,gok5 det5,Feel
估計,估,gu3,Estimate
牽掛,記掛,gi4 ga4,Miss somebody
擔心,愁,seu2,Worry about somebody
生氣,幾氣,git3 hi4,Be angry
生氣,發火,fat5 fo3,Be angry
委屈,冤枉,yen1 vong3,Be wronged
害怕,惶,kong2,Be afraid
小心,小心,siau3 sim1,Be careful
提防,惶到,fong2 dau4,Guard against
回憶,想起,siong3 hi3,Recall
(甘心)情願,甘願,gam1 ngien4,Be willing to
喜歡(看戲),中意,zung1 yi4,Like
討厭,惱,lau1,Hate
妒忌,眼紅,ngan3 fung2,Be jealous
妒忌,眼熱,ngang3 ngiet2,Be jealous
疼愛(孫子),惜,siak5,Love
惱火,發火,fat5 fo3,Infuriate
慌張,惶,kong2,"In a flurry, panic"
心煩,煩,fan2,Anxious
得意,興,hin3,Complacent
忘(了),添忘,tiam1 mong4,Forget
埋怨,怨,yen4,"Complain, blame"
相信,信,sin4,Believe
懷疑,疑心,ngi2 sim1,Doubt
嫌棄,嫌,hiam2,Dislike and avoid
安慰,勸,kien4,To comfort
傷心,傷心,song1 sim1,Sad
高興,興,hin3,Be happy
心疼(東西),唔捨得,m1 sa3 det5,Cherish something
清靜,靜,cin4,Quiet
陰涼,陰涼,yim1 liong2,Shady
輕鬆,輕鬆,kiang1 sung1,Relaxed
累,攰,kioi4,Be tired
(光線)刺眼,射眼,sa4 ngan3,Dazzled by sunshine
(氣味)刺鼻,濁鼻,guk6 pi4,Pungent
(聲音)刺耳,振耳,zin3 ngi3,Strident
(鞋子覺著)緊,恒,hen2,(the shoes are) small
(衣服覺著)緊,狹,kiap6,(clothes)tight
(肚子覺著)痛,痛,tung4,Painful
(開水覺著)燙,燒,sau1,Hot
(肥肉覺著)膩,膩,li4,Grease
(身上覺著)癢,痎,hoi2,Itchy
(屋裏覺著)悶,焗,guk6,Studdy Stiffling hot
(坐車覺著)顛,拋,pau1,Bumpy
(凳子覺著)冰,冷,lang1,Cold
(毛衣覺著)紮,厾,duk5,(the sweater is) bristly
(沙子)硌腳,埂,yin4,(the sands) cut the feet
殺(碘酒抹在傷口上時的刺痛感),刺,yap5,Smart (seriously painful)
長(繩),長,cong2,Long
短(繩),短,don3,Short
(屋簷)低,矮,ai3,Low (eaves)
(路)寬,闊,fat5,Wide
(路)窄,狹,kiap6,Narrow
(衣服)新,新,sin1,New
(衣服)破,爛,lan4,Ragged (clothes)
(菜)辣,辣,lat6,Spicy hot
(南瓜很)面(纖維少，澱粉多柔軟),面,mien4,Sticky (too much starch in food)
(湯)鹹,鹹,ham2,Salty
(柿子)澀,澀,giap5,"Astringent, puckery"
(味道)淡,淡,tam1,"Light, no tasty"
(茶)濃,濃,ngiung2,(tea) strong
(茶)淡,淡,tam1,(tea) mild
(粥)稠,稠,leu2,Thick and sticky
(粥)稀,鮮,sien1,Watery
(眼睛)圓,圓,yen2,Round (eyes)
(鼻子)扁,扁,bien3,plain (nose)
(水)渾,渾,vun2,(water) turbid
(水)清,鮮,sien1,(water) clear
(房間)暗,暗,am4,dark (room)
(手)大,大,tai4,big (hand)
(手)小,細,se4,small (hand)
(刀)鋒利,快,kai1,sharp (knife)
(魚)活,生,sang1,live (fish)
很笨,蠢,cun3,Stupid
(飯)生,生,sang1,Unboiled (rice)
(飯)熟,過核,go4 fut6,Boiled (rice)
(弄)亂(了),亂,lon4,Disorder
(放)穩,穩,vun3,Make steady
(貼)歪(了),爻,ngau2,Deflective
(栽)密(了),密,mit6,Thick(tree planting)
(栽)稀(了),落,lau4,Thin(tree planting)
(酒)厲害,濃,ngiung2,(wine is) strong
(花生)潮(了),轉潮,zon3 cau2,(Peanut becomes) uncrisp
(花生)潮(了),轉潤,zon3 yun4,(Peanut becomes) uncrisp
(成績)差,差,ca1,(the result of study is) bad
(成績)差,唄,bia3,(the result of study is) bad
(餅乾)脆,酥,su1,Crisp
(坡)陡,崎,ki1,Steep
(籃子)結實,主固,zu3 gu4,(the basket is) Solid
(人)強壯,結實,giet5 sit6,(the man is) strong
(車)歪(向一邊),側,zet5,(the car) lurch sideways
(桌子)晃,搖,yau2,(Table is)shaky
(球)癟(了),凹,ngiap5,(ball becomes)flat
(天氣)潮,回南,fui2 lam2,Damp(weather)
熱鬧,旺,vong4,Crowded
冷清,靜,cin4,Calm and quiet (not crowded)
乾淨,伶俐,lang2 li4,Clean
骯髒,漚漏,eu4 leu4,Dirty
骯髒,累贅,lui4 zui4,Dirty
骯髒,囉嗦,lo4 so4,Dirty
(事情很)麻煩,麻煩,ma2 fan2,Complicated
(事情很)麻煩,難搞,lan2 gau3,Complicated
容易,快,kai4,Easy simple
容易,容易,yung2 yi4,Easy simple
(路)直,直,cit6,Straight
* (路)~直,筆直,bit5 zit6,Very straight
(繩子)粗,粗,cu1,Thick (rope)
(繩子)~粗,好粗,hau3 cu1,Very thick
(繩子)細,幼,yiu4,thin (rope)
(繩子)很細,好幼,hau3 yiu4,Extremely slender (string)
(籮裏穀子)滿,滿,mun1,Full (a basket is filled with rice)
(籮裏穀子)~滿,滿卒卒,man1 zut5 zut5,Very full
(書)厚,笨,pun1,Thick (book)
(書)~厚,好笨,hau3 pun1,Very thick
(書)~很厚,笨繳繳,bun4 giau3 giau3,Very thick (var.)
(紙)薄,薄,pok6,Flimsy thin (paper)
(紙)~薄,薄翼翼,pok6 yit6 yit6,Very thin
(燈)亮,光,gong1,Bright
(燈)~亮,光華華,gong1 va2 va2,Very brght
(魚)腥,腥,siang1,Fishy
(魚)~腥,腥瘟瘟,siang1 vin1 vin1,Very fishy
(菜)嫩,嫩,lun4,(vegetables) Tender
(菜)~嫩,嫩術術,lun4 sut6 sut6,Very tender
(肉煮得)爛,爛,lan4,(meat) Mashed
(肉煮得)~爛,爛綿綿,mien4 lan4,Very mashed
（膝蓋碰)痛(了),痛,tung4,Painful (after hurt)
(膝蓋碰得)~痛,生痛,sang3 tung4,Very painful
(個兒)高,高,gau1,Tall(Body feature)
(個兒)矮,矮,ai3,(Body feature) Short
*矮~~,矮耷耷,ai3 dep6 dep6,Very short
(人)胖,肥,pui2,Fat (man)
(人)胖,肭,lep5,Fat (man)
胖~~,肥嘟嘟,pui2 dut5 dut5,Very thick
胖~~,仂卒卒,lep5 zut5 zut5,Very thick
(人)瘦,瘦,seu4,Slim(man)
瘦~~,痩蜢蜢,seu4 mang1 mang1,Very slim
瘦~~,瘦馬靈鉗,seu4 ma1 liang2 kiang2,Very slim
(豬)肥,肥,pui2,Fat (pig)
肥~~,肥嘟嘟,pui2 dut5 dut5,Very fat (pig)
(菜)老,老,lau3,(the vegetable) overgrown
老~~,老麥麥,lau3 mak6 mak6,Seriously overgrown
老~~,老嚙嚙,lau1 ngat5 ngat5,Seriously overgrown
(東西)亂,亂,lon4,Chaotic (room)
亂~~,好亂,hau3 lon4,Very chaotic
(速度)快,快,kai4,Fast(speed)
~快,好快,hau3 kai4,Very fast
(速度)慢,慢,man4,Slow(speed)
慢~~,慢吞吞,man4 tun1 tun1,Very slow
(刀)快,快,kai1,Sharp(knife)
~快,好快,hau3 kai4,Very sharp
(水)熱,燒,sau1,Hot(water)
~熱,好燒,hau3 sau1,Very hot
熱~~,燒焓焓,sau1 hem2 hem2,Extremely hot
(水)冷,冷,lang1,Cold (water)
~冷,好冷,hau3 lang1,Very cold
冷~~,冷挖挖,lang1 vat5 vat5,Extremely cold
(水)燙,淥,luk6,Hot and hurt (water)
~燙,沸淥淥,bui4 luk6 luk6,Very hot and hurt
紅,紅,fung2,Red
~紅,烔紅,dung4 fung2,Very red
紅~~ 鮮紅,紅淮淮,fung2 fai1 fai1,Extremely red
黃,黃,vong2,Yellow
~黃,好黃,hau3 vong2,Very yellow
黃~~,黃貢貢,vong2 gung4 gung4,Extremely yellow
綠,青,ciang1,Green
~綠,好青,hau3 ciang1,Very green
白,白,pak6,White
~白,雪白,sut6 pak6,Very white
白~~,白雪雪,pak6 sut6 sut6,Extremely white
黑,烏,vu1,Black
~烏黑,黷烏,tuk6 vu1,Jet-black
很黑,好烏,hau3 vu1,Very Black
黑漆漆~~,烏黷黷,vu1 du4 du4,Extremely black
黑漆漆~~,烏矂矂,vu1 sau1 sau1,Extremely black
(菜)酸,酸,son1,(dish) Sour
~酸,好酸,hau3 son1,Very sour
酸~~,酸丟丟,son1 diu2 diu2,Extremely sour
(瓜)甜,甜,tiam2,(Melon) Sweet
~甜,鮮甜,sien1 tiam2,Very sweet
甜~~,甜津津,tiam2 zin1 zin1,Extremely sweet
(瓜)苦,苦,fu3,(Melon) bitter
~苦,好苦,hau3 fu3,Very bitter
苦~~,苦丟丟,fu3 diu1 diu1,Extremely bitter
(花)香,香,hiong1,(the smell of flower) Fragrant
~香,噴香,pun4 hiong1,Very fragrant
香噴噴~~,香噴噴,hiong1 pun4 pun4,Extremely fragrant
(屎)臭,臭,ciu4,(Dung) Smelly
~臭,臭垠,ciu4 hien1,Very smelly
臭~~,臭垠臭蟹,ciu4 hien1 ciu4 hai3,Extremely smelly
(尿)臊,垠,hien1,Urine smelly
~臊,好臭垠,hau3 ciu4 hien1,Very smelly urine
臊~~,爛臭垠,lan4 ciu4 hien1,Extremely smelly urine
(地面)滑,滑,vat6,Slippery (floor too smooth)
~滑,好滑,hau3 vat6,Very slippery
滑~~,滑律律,vat6 lut6 lut6,Extremely slippery
重,重,cung1,Heavy
~重,好重,hau3 cung1,Very heavy
重~~,重墜墜,cung1 dem2 dem2,Extremely heavy
輕,輕,kiang1,Light (weight)
~輕,好輕,hau3 kiang1,Very light
輕~~,輕匹匹,kiang1 pit6 pit6,Extremely light
(衣服曬)乾(了),燥,zau1,(the clothes) Dry
~乾,好燥,hau3 zau1,Very dry
乾~~,燥麥麥,zau1 mak6 mak6,Extremely dry
(衣服淋)濕(了),濕,sip5,(the clothes) Wet
~濕,好濕,hau3 sip5,Very wet
濕~~,濕荅荅,sip5 dap5 dap5,Extremely wet
(饅頭)硬,硬,ngang4,Hard (food too hard to chew)
~硬,好硬,hau3 ngang4,Very hard
硬~~,硬角角,ngang4 gok6 gok6,Extremely hard
(饅頭)軟,軟,ngion1,(food) Fluffy and soft
~軟,好軟,hau3 ngion1,Very soft
軟~~,軟入入,ngion1 ngip6 ngip6,Extremely soft
(石板)光滑,滑,vat6,(surface of stone) Smooth
~光滑,好光滑,hau3 gong1 vat6,Very smooth
光滑~~,滑律律,vat6 lut6 lut6,Extremely smooth
光滑~~,滑凸凸,vat6 tut6 tut6,Extremely smooth
一,一,yit5,One
二,二,ngi4,Two
三,三,sam1,Three
四,四,si4,Four
五,五,ng3,Five
六,六,luk6,Six
七,七,cit5,Seven
八,八,bat5,Eight
九,九,giu3,Nine
十,十,sip6,Ten
十五,十五,sip6 ng3,Fifteen
二十二,廿二,ngip6 ngi4,Twenty-two
三十三,三十三,sam1 sip6 sam1,Thirty-three
一百一十,百一,bak5 yit5,One hundred and ten
一百一十一,一百一十一,yit5 bak5 yit5 sip6 yit5,One hundred and eleven
二百五十,兩百五,liong3 bak5 ng1,Two hundreds and fifty
三四個(人),三四隻人,sam1 si4 zak5 ngin2,Three or four (people)
十來個,十零隻,sip6 lang2 zak5,More than ten (people)
整個(吃),晼隻,von2 zak5,"Whole (""don't eat it whole"")"
整個,成隻,sin2 zak5,A whole
二斤,兩斤,liong3 gin1,Two catties
二兩,兩兩,liong3 liong1,Two taels
二斤二兩,兩斤兩兩,liong3 gin1 liong3 liong1,Two point two catties
二斤二兩,兩斤二兩,liong3 gin1 ngi4 liong1,Two point two catties
二尺,兩尺,liong3 cak5,Two feet
一斤半,斤半,gin1 ban4,One and a half catties
(一)個(人),隻,zak5,Classifier for person
(一)隻(雞),隻,zak5,Classifier for chicken
(一)頭(豬),條,tiau2,Classifier for pig
(一)朵(花),朵,do3,Classifier for flower
(一)條(魚),條,tiau2,Classifier for fish
(一)頭(牛),條,tiau2,Classifier for cattle
(一)匹(馬),隻,zak5,Classifier for horse
(一)頭(狗),條,tiau2,Classifier for dog
(一)頭(蛇),條,tiau2,Classifier for snake
(一)棵(樹),棵,po1,Classifier for tree
(一)叢(草),堆,doi1,A cluster of grass
(一)頓(飯),餐,con1,Classifier for meal
(一)支(煙),口,heu3,Classifier for cigarette
(一)件(衣服),件,kien3,Classifier for clothes
(一)套(衣服),身,sin1,A suit of (clothes)
(一)雙(鞋),對,dui4,A pair of (shoes)
(一)雙(鞋),雙,sung1,A pair of (shoes)
(一)條(被子),番,fon1,Classifier for quilt
頂(蚊帳),頂,dang3,Classifier for mosquito net
(一)把(刀),張,cong1,Classifier for knife
(一)幢(房子),間,gan1,Classifier for building
(一)口(井),隻,zak5,Classifier for well
(一)個(箱子),隻,zak5,Classifier forbox
(一)輛(車),架,ga4,Classifier for car
(一)隻(船),條,tiau2,Classifier for boat
(一)件(事情),件,kien4,"Classifier for thing, matter, work, affair"
(一)夥(人),班,ban1,A group of (people)
(一)疊(紙),疊,tiap6,A pile of (paper)
(一)捧(花生),捧,bung3,A handful of (peanuts)
(一)串(葡萄),桍,ka3,A cluster of (grapes)
(一)口(水),啖,tam4,A mouthful of (water)
(一)瓶(酒),樽,zun1,A bottle of (wine)
(一)片(樹葉),皮,pi2,Classifier for(a piece of)leaf
(一)截(木頭),筒,tung2,A block of (wood)
(一)片(桔子),緬,mien3,A piece of (oranges)
(一)灘(水),平,piang2,A puddle of (water)
(一)道(痕跡),條,tiau2,A piece of (trace)
(一)畦(菜地),壢,lak6,A piece of (field)
(一)丘(田),塊,kai4,A piece of (farm land)
(一)家(人),家,ga1,A family
(一)滴(眼淚),點,diam3,A drop of (tear)
(一)窩(狗),竇,deu4,A brood ofanimals
(一)塊(磚),隻,zak5,A block of (brick)
(一)陣(雨),陣,cin4,A shower of (rain)
(一)扇(門),隻,zak5,Classifier for door
(一)隻(碗),隻,zak5,Classifier for bowl
(一)口(鍋,隻,zak5,Classifier for pan
(一)杆(秤),把,ba3,Steelyard
(一)把(大蒜),把,ba3,A bundle of (garlic)
(一)泡(尿),涿,duk5,Classifier for pee
(一)泡(屎),涿,duk5,Classifier for shit
(一)團(泥),團,ton2,A piece of (mud)
(一)株(草),棵,po1,Classifier for grass
(一)堆(沙),堆,doi1,A pile of (sand)
(一)服(藥),服,fuk6,A dose of (medicine)
(一)苲(長),拈,ngiam3,The length of hand extended from thumb to last finger
(一)庹(長),拈,ngiam3,The length of hand extended from thumb to last finger
(一)元(錢),塊,kai4,Yuan(currency unit)
(一)角(錢),毫,hau2,Ten cents
(一)分(錢),分,fun1,One cent
(打一)頓,身,sin1,Classifier for beating
(看一)遍,到,dau4,(read) once
(走一)趟,趟,tong4,Classifier fora journey
(玩一)次,到,dau4,(play) a round
我,厓,ngai2,I (First person pronoun)
你,你,ngi2,You (singular)
他,佢,gi2,He
我們,厓哋,ngai2 di1,We
咱們,吾兜,nga1 deu1,We (including the speakers and listeners only)
你們,你兜,ngia1 deu1,You (plural)
我的,吾,nga1,my
你的,若,ngia1,yours
他的,其,gia1,his
自己,𠊎自家,ngai2 ci2 ga1,myself
你自己,爾自家,ngi2 ci2 ga1,yourself
他/她自己,渠自家,gi2 ci2 ga1,himself/herself
我们自己,吾兜自家,nga1 diu1 ci2 ga1,ourselves
你们自己,若兜自家,ngia1 diu1 ci2 ga1,yourselves
他们自己,其兜自家,gia1 diu1 ci2 ga1,themselves
我们自己,吾自家,nga1 ci2 ga1,ourselves
你们自己,若自家,ngia1 ci2 ga1,yourselves
他们自己,其自家,gia1 ci2 ga1,themselves
自己,自家,ci2 ga1,Myself
自己人,自家人,ci2 ga1 ngin2,of our group of people
我，我,本人,bun3 ngin2,"I, me"
别人,別人,pet6 ngin2,others
其他的,他人,ta1 ngin2,others
他、她、它、他的、她的、他们的、他们、他们、其他人,人家,ngin2 ga1,"he, she, it, his, her, theirs, they, them, others"
每个人,各人,gok5 ngin2,each individual
大家,大家,tai4 ga1,everyone
大家,計人,ge4 ngin2,everybody
人人,人人,ngin2 ngin2,everyone
每个人,每隻人,mui1 zak5 ngin2,everyone
某人,有人家,yiu1 ngin2 ga1,someone
某人,有隻人,yiu1 zak5 ngin2,someone
没人,無人家,mau2 ngin2 ga1,nobody
他們,佢兜,gia1 deu1,They
誰,哪人,la4 ngin2,Who
別人,人家,ngin2 ga1,Others
大家,大齊家,tai4 ci2 ga1,Everyone
自己,自家,ci2 ga1,Self
我的,吾嘅,nga1 ge4,My
你的,爾嘅,ngia1 ge4,Your
他的,佢嘅,gia1 ge4,His
我們的,厓哋嘅,ngai2 di1 ge4,Our
咱們的,吾兜嘅,nga1 deu1 ge4,Our (including the speakers and listeners only)
你們的,你兜嘅,ngia1 deu1 ge4,Your (plural)
他們的,佢兜嘅,gia1 deu1 ge4,Their
誰的,哪人嘅,la4 ngin2 ge4,Whose
這個,這隻,ngia3 zak5,This
那個,該隻,ai4 zak5,That
哪個,哪隻,lai4 zak5,Which
這些,這兜,ngia3 deu1,These
那些,該兜,ai4 deu1,Those
哪些,哪兜,lai4 deu1,Which (plural)
一些兒,一滴仔,yit5 dit6 zai3,Some
這裏,這裏,ngia3 li1,Here
這裏,這定,ngia3 tang4,Here
那裏,該裏,ai4 li1,There
那裏,該定,ai4 tang4,There
哪裏,哪裏,lai4 li1,Where
哪裏,哪定,lai4 tang4,Where
這邊,這邊,ngia3 bien1,This side
那邊,該邊,ai4 bien1,That side
哪邊,哪邊,lai4 bien1,Which side
這麼(甜),恁,an2,So (sweet)
那麼(甜),恁,an4,That (sweet)
這樣(做),恁樣做,an2 yong4 zo4,(Do like ) this
那樣(做),恁樣做,an4 yong4 zo4,(Do like) that
怎樣(做),樣邊做,yong4 bien1 zo4,How (to do )
怎麼(辦),樣邊搞,yong4 bien1 gau3,How (can we do )
這會兒,這下,ngia3 ha4,Now
那會兒,該下,ai4 ha4,At that time
哪會兒,哪陣,lai4 cin4,When
哪會兒,幾時,git5 si2,When
多久,幾久,git5 giu3,How long (time)
多少斤,幾多斤,git5 do1 gin1,How many kilos
別處,第二定,ti4 ngi4 tang4,Other places
別的(東西),第二兜,ti4 ngi4 deu1,Other (things)
到處,哪定,lai4 dang4,Everywhere
什麼,乜介,mak5 gai4,What
為什麼,做乜介,zo4 mak5 gai4,Why
…上下,上下,song4 ha4,"About, circa"
分(幾分之幾),分,fun4,Fraction
剛(到),正,zang4,just now
剛好(合適),啱線,ngam1 sien4,Very (suitable)
乍(看很像),積聲看去,zik6 sang1 kon4 hi4,At the first glance
一向,一直,yit6 cit6,Always
一向,不留,but5 liu4,Always
常常,長日,cong2 ngit5,Usually
正在(吃飯),食等,sit6 den3,In the course of (eating)
趕快(走),快滴,kai4 dit6,Hurry up
(別)老是(說),緊,gin3,Always
馬上(就到),黏腳,ngiam2 giok5,Right now
一下子(找不著),一下子,yit5 ha4 zu3,At a draught
很(好),幾,git5,Very (good)
最,最,zui4,Most
太(小了),忒過,tet5 go4,Too (small)
特別(鹹),特別,tet6 piet6,"Especially, extremely"
有點兒(累),有滴仔,yiu1 dit6 zai3,A little
(大家)都(會),都,du1,All (adv.)
一共,一下,yit5 ha4,In total
幸虧(沒去),好彩,hau3 coi3,Fortunately
特地(趕來),直登,cit6 dang1,Specially
特地(趕來),專門,zon1 mun2,Specially
反正,總都,zung3 du1,Anyhow
光(吃菜不吃飯),淨,ciang4,Only (eating vegetables )
只(剩下一點兒),正,zang4,Just (a little left)
偏(不去),就係,ciu4 he4,With intention (not to go)
恐怕(來不了),惶,kong2,Be afraid (that I cannot come)
一塊兒(去),一下,yit5 ha4,(go) together
故意,直登,cit6 dang1,Intently
一定(要來),硬係,ngang4 he4,Must
白(幹),白,pak6,(do something) in vain
不(去),唔,m1,not (go )
不是,唔係,m1 he4,No
沒(去),冇,mau2,Did not (go)
沒有(錢),冇,mau2,No (money)
不必(去),唔使,m1 su3,No need to (go)
別(去),唔好,m1 hau3,Don’t (go)
還(沒來),還,han2,Still not yet (come)
突然(不見了),陣時間,cin4 si2 gan1,Suddenly
得(去),愛,oi4,Want to (go)
拼命(跑),搏命,bok5 miang4,Desperately
更(起勁),還過,han2 go4,Much more
大約(二十個),大莫約,tai4 mok5 yok5,About
幾乎(沒命),爭嘀仔,cang1 dit6 zai3,Almost (lose one’s life)
索性(不去),乾脆,gon1 cui4,Simply(do not go)
索性(不去),直情,zit6 cin2,Simply(do not go)
快(到了),就,ciu4,Soon
預先(講好了,加先,ga1 sien1,in advance (agree on something)
仍然(那樣),還係,han2 he4,All the same
好像(見過),好像,hau3 ciong4,Seem (to meet before)
跟著(就走了),黏尾,ngiam2 mui1,Then (he left)
(氣)都(氣死了),都,du1,Even (killed by his bad manner)
偏偏(是他),偏偏,bien1 bien1,Happens to be (him)
已經(來了),來嗨哋,loi2 hoi1 di1,Already
稍微(高了些),稍為,sau3 vui2,A bit (tall)
多(漂亮),幾,git5,How (beautiful)
臨時(弄),臨時,lin2 si2,Temporarily
的確(不知道),真係,zin1 he4,Indeed
(吃了飯)再說,正講,zang2 gong3,Discuss later
(太陽)和(月亮),撈,lau1,And (sun and moon)
(我)跟(他都去),撈,lau1,(He) and (I)
或者(你去),或者,fet6 za3,Or
只要,只要,zik5 yau4,As long as
只有,只有,zik5 yiu1,Nothing but
(借)給(我),分,bin1,(lent it ) to (me)
和(你不同),撈,lau1,(not the same) as (you)
被(他吃了),分,bin1,(eaten up ) by (him)
把(門關上),將,ziong1,Equivalent of “ba” in Mandarin
(放)在(哪裏),在,coi1,At (some places)
從(明天起),由,yiu2,From (time)
打(哪兒來),適,zak5,From (place)
照(這樣做),照,zau4,(do) like (this)
沿著(河邊走),沿,yen2,(walk) along (the river)
替(他看門),幫,bong1,(watch door) for (him)
替(他看門),撈,lau1,(watch door) for (him)
向(他借錢),向,hiong4,(borrow money) from (him)
向(前走),向,hiong4,Towards
從小,從細,cung2 se4,From a young age
在(家裏吃),在,coi1,At (home)
除(他之外),除嗨,cu2 hoi1,Except (him)
讓(他去),等,den3,Let (him go)
用(鋼筆寫),用,yung4,(write) by (pen)
到(今天止),到,dau4,Until (today)
比(他高),比,bi3,(Taller) than
*餓死了 (程度誇張),餓死咯,ngo4 si3 lo3,Very hungry
餓死了 (結果),餓死嗨,ngo4 si3 hoi1,Be dead of starvation
凍死了(程度誇張),冷死咯,lang1 si3 lo3,Very cold
凍死了 (結果),冷死嗨,lang1 si3 hoi1,Be dead of cold
累死了(程度誇張),攰死咯,kioi4 si3 lo3,Very tired
累死了 (結果),攰死嗨,kioi4 si3 hoi1,Be dead of tireness
(擔子太重) 壓死了(程度誇張),磧死咯,zak5 si3 lo3,Too heavy
壓死了 (結果),磧死嗨,zak5 si3hoi1,Die of heavy stress
(蚊子太多)叮死了,叼死咯,diu1 si3 lo3,Too many mosquitos biting!
叮死了,叼死嗨,diu1 si3hoi1,Be dead of biting
高興死了 (程度誇張),興死咯,hin3 si3 lo3,So happy
找遍了,尋交轉,cim2 gau3 con3,Searched everywhere
(已經)說好,講好嗨里,gong3 hau3 hoi1 di1,(already) agreed on (something
(功課)做完了,做秋嗨,zo4 ciu1 hoi1,(homework is) done
(手錶)不見了,唔見嗨,m1 gien4 hoi1,Can’t find (the watch)
(辣椒)太辣了,辣過頭咯,lat6 go4 teu1 lo3,(the pepper is) too hot
(雨傘)壞了,爛嗨,lan4 hoi1,(the umbrella) is broken
看不見,看唔倒,kon4 m1 dau3,Cannot see
進不去,番唔到去,fan1 m1 dau3 hi4,Cannot go inside
出不來,出唔到來,cut5 m1 dau3 loi2,Cannot come outside
裝不下,裝唔落,zong1 m1 lok6,Cannot squeeze things into (a bag)
頭不痛,頭那唔痛,teu2 la1 m1 tung4,The head aches no more
給他猜著了,分佢估中嗨,bin1 gi2 gu3 zung4 hoi1,Be anticipated by him
打不過他,打佢唔嬴,da3 gi2 m1 yang2,Cannot defeat him
打得過他,打得佢贏,da3 det5 gi2 yang2,Can defeat him
喘不過氣,敨唔倒氣,teu3 m1 dau3 hi4,Cannot breathe
騙不了我,撮唔倒厓,cot5 m1 dau3 ngai2,(you)Cannot cheat me
(我)叫不動他,喊唔動佢,ham4 m1 dung1 gi2,(I ) cannot ask him to help
(這孩子很)討人喜歡,得人惜,det5 ngin2 siak5,(this child) is beloved
討人嫌,得人惱,det5 ngin2 lau1,Dislikable
回來(由此出發再返回),轉來,zon3 loi2,Come back
回去(由彼地到此再回去),轉去,zon3 hi4,Go back
慢慢兒走,慢慢行,man4 man4 hang2,Watch your steps
讓我看看,分厓看下,bin1 ngai2 kon4 ha4,Let me see
短短的繩子,短術術嘅索嫲,don3 sut6 sut6 ge4 sot5 ma2,A short rope
彎彎的牛角,彎彎嘅牛角,van1 van1 ge4 ngiu2 gok5,A bend horn of cattle
一樣長的繩子,一樣長嘅索嫲,yit5 yong4 cong2 ge4 sot5 ma2,Ropes with the same length
只需要一丁點兒,凈愛一滴仔,ciang4 oi4 yit5 dit6 zai3,"(it is too much, I just) need a little"
(別急)等一會兒他就來,等間佢就來,den3 gan1 gi2 ciu4 loi2,"(don’t worry),he is coming"
給他一本書,分本書佢,bin1 bun3 su1 gi1,Give him a book
多給一點兒行不行？,分多滴厓得唔得,bin1 do1 dit6 ngai2 det5 m1 det5,"Give me a little more, ok?"
(字太草了，)重寫！,寫過,sia3 go4,Write it again!
（茶太淡了，)重泡一壼,焗過一壺,guk6 go4 yit5 fu2,Make another pot of tea
(他要趕車)讓他先吃,分佢食先,bin1 gi2 sit6 sien1,let him eat first
你先走(，我馬上來)！,你先行走,ngi2 sien1 hang2 zeu3,"You leave first, (I am coming)"
