# Mandarin character frequency data (auto-generated — do not edit)
# Sources: hanzicraft.com/lists/frequency + Wiktionary Mandarin top-1000
# Format: char TAB pseudo-frequency (= 100000 // rank)
# Regenerate: python build/fetch_mandarin_ranks.py
#
夸	51
豫	51
胃	51
舌	51
剥	51
傲	51
拾	51
窝	51
睁	51
携	50
陵	50
哼	50
棉	50
晴	50
铃	50
填	50
饲	50
渴	50
吻	50
扮	50
逆	50
脆	50
喘	50
罩	50
卜	50
炉	50
柴	50
愉	50
绳	50
胎	50
蓄	50
眠	50
竭	50
喂	50
傻	50
慕	50
浑	50
奸	50
扇	50
柜	50
悦	50
拦	50
诞	50
饱	50
乾	50
泡	50
贼	50
亭	50
夕	50
爹	49
酬	49
儒	49
姻	49
卵	49
氛	49
泄	49
杆	49
挨	49
僧	49
蜜	49
吟	49
猩	49
遂	49
狭	49
肖	49
甜	49
霞	49
驳	49
裕	49
顽	49
摘	49
矮	49
秒	49
卿	49
畜	49
咽	49
披	49
辅	49
勾	49
盆	49
疆	49
赌	49
塑	49
畏	49
吵	49
囊	49
嗯	49
泊	49
肺	49
骤	48
缠	48
冈	48
羞	48
瞪	48
吊	48
贾	48
漏	48
斑	48
涛	48
悠	48
鹿	48
俘	48
锡	48
卑	48
葬	48
铭	48
滩	48
嫁	48
催	48
璇	48
翅	48
盒	48
蛮	48
矣	48
潘	48
歧	48
赐	48
鲍	48
锅	48
廊	48
拆	48
灌	48
勉	48
盲	48
宰	48
佐	48
啥	48
胀	48
扯	48
禧	48
辽	48
抹	48
筒	47
棋	47
裤	47
唉	47
朴	47
咐	47
孕	47
誓	47
喉	47
妄	47
拘	47
链	47
驰	47
栏	47
逝	47
窃	47
艳	47
臭	47
纤	47
玑	47
棵	47
趁	47
匠	47
盈	47
翁	47
愁	47
瞬	47
婴	47
孝	47
颈	47
倘	47
浙	47
谅	47
蔽	47
畅	47
赠	47
妮	47
莎	47
尉	47
冻	47
跪	47
闯	47
葡	47
厨	47
鸭	46
颠	46
遮	46
谊	46
圳	46
吁	46
仑	46
辟	46
瘤	46
嫂	46
陀	46
框	46
谭	46
亨	46
钦	46
庸	46
歉	46
芝	46
吼	46
甫	46
衫	46
摊	46
宴	46
嘱	46
衷	46
娇	46
陕	46
矩	46
浦	46
讶	46
耸	46
裸	46
碧	46
摧	46
薪	46
淋	46
耻	46
胶	46
屠	46
鹅	46
饥	46
盼	46
脖	46
虹	46
翠	46
崩	46
账	45
萍	45
逢	45
赚	45
撑	45
翔	45
倡	45
绵	45
猴	45
枯	45
巫	45
昭	45
怔	45
渊	45
凑	45
溪	45
蠢	45
禅	45
阐	45
旺	45
寓	45
藤	45
匪	45
伞	45
碑	45
挪	45
琼	45
脂	45
谎	45
慨	45
菩	45
萄	45
狮	45
掘	45
抄	45
岭	45
晕	45
逮	45
砍	45
掏	45
狄	45
晰	45
罕	45
挽	45
脾	45
舟	45
痴	45
蔡	45
剪	45
脊	44
弓	44
懒	44
叉	44
拐	44
喃	44
僚	44
捐	44
姊	44
骚	44
拓	44
歪	44
粘	44
柄	44
坑	44
陌	44
窄	44
湘	44
兆	44
崖	44
骄	44
刹	44
鞭	44
芒	44
筋	44
聘	44
钩	44
棍	44
嚷	44
腺	44
弦	44
焰	44
耍	44
俯	44
厘	44
愣	44
厦	44
恳	44
饶	44
钉	44
寡	44
憾	44
摔	44
叠	44
惹	44
喻	44
谱	44
愧	44
煌	44
徽	44
溶	43
坠	43
煞	43
巾	43
滥	43
洒	43
堵	43
瓷	43
咒	43
姨	43
棒	43
郡	43
浴	43
媚	43
稣	43
淮	43
哎	43
屁	43
漆	43
淫	43
巢	43
吩	43
撰	43
啸	43
滞	43
玫	43
硕	43
钓	43
蝶	43
膝	43
姚	43
茂	43
躯	43
吏	43
猿	43
寨	43
恕	43
渠	43
戚	43
辰	43
舶	43
颁	43
惶	43
狐	43
讽	43
笨	43
袍	43
嘲	43
啡	43
泼	43
衔	43
倦	43
涵	43
雀	42
旬	42
僵	42
撕	42
肢	42
垄	42
夷	42
逸	42
茅	42
侨	42
舆	42
窑	42
涅	42
蒲	42
谦	42
杭	42
噢	42
弊	42
勋	42
刮	42
郊	42
凄	42
捧	42
浸	42
砖	42
鼎	42
篮	42
蒸	42
饼	42
亩	42
肾	42
陡	42
爪	42
兔	42
殷	42
贞	42
荐	42
哑	42
炭	42
坟	42
眨	42
搏	42
咳	42
拢	42
舅	42
昧	42
擅	42
爽	42
咖	42
搁	42
禄	42
雌	42
哨	42
巩	42
绢	42
螺	41
裹	41
昔	41
轩	41
谬	41
谍	41
龟	41
媳	41
姜	41
瞎	41
冤	41
鸦	41
蓬	41
巷	41
琳	41
栽	41
沾	41
诈	41
斋	41
瞒	41
彪	41
厄	41
咨	41
纺	41
罐	41
桶	41
壤	41
糕	41
颂	41
膨	41
谐	41
垒	41
咕	41
隙	41
辣	41
绑	41
宠	41
嘿	41
兑	41
霉	41
挫	41
稽	41
辐	41
乞	41
纱	41
裙	41
嘻	41
哇	41
绣	41
杖	41
塘	41
衍	41
轴	41
攀	41
膊	41
譬	41
斌	41
祈	41
踢	41
肆	40
坎	40
轿	40
棚	40
泣	40
屡	40
躁	40
邱	40
凰	40
溢	40
椎	40
砸	40
趟	40
帘	40
帆	40
栖	40
窜	40
丸	40
斩	40
堤	40
塌	40
贩	40
厢	40
掀	40
喀	40
乖	40
谜	40
捏	40
阎	40
滨	40
虏	40
匙	40
芦	40
苹	40
卸	40
沼	40
钥	40
株	40
祷	40
剖	40
熙	40
哗	40
劈	40
怯	40
棠	40
胳	40
桩	40
瑰	40
娱	40
娶	40
沫	40
嗓	40
蹲	40
焚	40
淘	40
嫩	40
韵	40
衬	40
匈	40
